"HolderAddress","Balance","PendingBalanceUpdate"
"0xd9c7b44ca70d1cc89fa7d108551bcd853d6b0720","9670251","No"
"0xd5c404b98a16c1495709aefcdc5a97785c4aaa3f","9670251","No"
"0xc608238743573144c9f1fe77471776f77db90326","659498","No"
"0x5683732076ea8fec8617eab3a8a24bb799c5fb61","16270251","No"
"0xdebc28810fc87506cd73b375294a8f97d79e6a4c","128496998.520291","No"
"0x2c3916341788263cca9cc17c24ba8047178294c7","9670251","No"
"0x236abd16b87e1549ef4bb5dc97e375e0721fb1e5","9670251","No"
"0xaa73bdecb77ae96c2c73530ca1a276e256cb65e8","113815633.255394","No"
"0x684ed72c89b2cc92c6a8488abedad1ac83d71bd8","9670251","No"
"0x127070536d8f71ad13bf0ca9f4faf1685f832f53","22241577","No"
"0x93f6fbc6012f5f37fe0e549eb174420f1f596aaf","9670251","No"
"0x47c6fe067160520cc0ed62289a4097a6fab0c1f3","23270251","No"
"0xa65c68eaea8b6001cbf428dd64997c7cffdb2d47","9670251","No"
"0x39e60458426d26c27d8a6a767697abf2796d228a","1053440186.61255","No"
"0xa60803d580ca02d85b5fc65f0cc87eb8fe177851","9670251","No"
"0xe3db06d51a886b6d4a59e36ecbd0ff2ffbfb2e95","4270251","No"
"0x82ed0f1f4fc9120020a8fe05751f6b2adf517308","9670251","No"
"0x89e9bb22f0274143bff319270ff8e9690af5c753","14505377","No"
"0xae9c89aab9919b04bba5d75108663b63b49197c3","9670251","No"
"0x325ea765bf399faa26e897809e0be4fb5a79be84","9670251","No"
"0x5f2254b11e8b2a556442d0b15f918b8e39af0c6e","1006947064.77802","No"
"0x689ec97c520ab04518034ebfe08db2d99999caaa","16670251","No"
"0x5293fc338196f987ce2658910f3554dde9987f2e","14505377","No"
"0xe4157e9706e66244d6590eaedb1e1d00a2c6013d","14505377","No"
"0x12c5808a6a20777c235bcd0231e9538584fd50bd","1E-18","No"
"0x24c304280b5aae8f201c7a3c96e9a2c0b7184146","183816334.755908","No"
"0x7bbc2105c4b6cfb5d5cb580990a41874319e5d7f","7000000","No"
"0x8ba0ac6e7f535f9dc9eee41c951659f145121f37","7000000","No"
"0xcbb6d04519302c37248b26f9eb73a50fd7ed10af","7000000","No"
"0x71a52482e88ac603ba68b36b86166d88d08bf1fa","13600000","No"
"0x594d7964f5d8b01cf7c1d40c1e791b18e09392c5","7000000","No"
